sampleID	fpkmRatio
Ctrl-PL3-B06	0.00620730286182152
Ctrl-PL3-F08	0.00718657450801172
Fixed-PL3-A05	0.0907332568031909
Fixed-PL3-A07	0.080613701484079
Fixed-PL3-C01	0.11065489611624
Fixed-PL3-C08	0.0703712283123352
Fixed-PL3-D02	0.0720202035948273
Fixed-PL3-D07	0.0920004398984942
Fixed-PL3-E09	0.0781836131707237
Fixed-PL3-F02	0.175196742606458
Fixed-PL3-F04	0.0822265274410443
Fixed-PL3-G07	0.165098284859235
Fixed-PL3-G09	0.156373185919161
Fixed-PL3-H01	0.16256078527411
Fixed-PL3-H02	0.213508629836743
Live-PL1-A02	6.72609641832309
Live-PL1-A03	5.21645767990363
Live-PL1-A04	5.19810422876961
Live-PL2-A01	50.2758842516028
Live-PL2-A02	42.3540822863355
Live-PL2-A03	52.711874664272
Live-PL2-A04	60.6793697356029
Live-PL2-A05	48.8658698026793
Live-PL2-A06	50.7980464913581
Live-PL2-A08	115.03497338311
Live-PL2-A09	110.726601331185
Live-PL2-A10	35.2517961968276
Live-PL2-B01	34.9812173912323
Live-PL2-B02	32.9370721984286
Live-PL2-B03	8.17874468701594
Live-PL2-B04	55.1672648031944
Live-PL2-B06	54.8443268478646
Live-PL2-B07	46.0940312569344
Live-PL2-B09	69.7320724730414
Live-PL2-B11	70.7358338745519
Live-PL2-B12	50.6593268087085
Live-PL2-C03	44.5957180015301
Live-PL2-C04	55.0872049575954
Live-PL2-C06	69.2932646746228
Live-PL2-C11	95.6659078327686
Live-PL2-C12	7.82196783135766
Live-PL2-D02	54.9489900745685
Live-PL2-D03	57.5706746652878
Live-PL2-D04	92.779548291472
Live-PL2-D05	51.4080664248128
Live-PL2-D07	37.3812516416214
Live-PL2-D11	41.2238670316649
Live-PL2-D12	48.1610901121545
Live-PL2-E01	3.80238822029226
Live-PL2-E04	43.7026702701904
Live-PL2-E06	7.32453921608692
Live-PL2-E08	6.79389117238356
Live-PL2-E09	4.02953542854279
Live-PL2-E11	104.905058905839
Live-PL2-E12	44.78277998831
Live-PL2-F01	13.1673021007123
Live-PL2-F02	77.7397437701021
Live-PL2-F04	67.6879444448867
Live-PL2-F06	45.5873975134883
Live-PL2-F07	5.03208634864139
Live-PL2-F09	4.94026561001785
Live-PL2-F10	39.8576770387319
Live-PL2-F11	64.2369467110041
Live-PL2-G02	64.6215034058199
Live-PL2-G04	57.4862139964429
Live-PL2-G06	67.3611883958298
Live-PL2-G07	6.92835627722589
Live-PL2-G08	4.47529691483126
Live-PL2-G09	4.35979928214066
Live-PL2-G10	45.0113598563827
Live-PL2-G11	56.9313174074579
Live-PL2-G12	5.82955016185608
Live-PL2-H01	4.77017613620427
Live-PL2-H02	5.04216082197935
Live-PL2-H03	3.68072725170777
Live-PL2-H06	79.8922073770864
Live-PL2-H08	7.7548501224998
Live-PL2-H09	4.39187916971265
Live-PL2-H10	69.555229588663
Live-PL2-H12	53.8251959742976
