cellType 	 gene 	 date 	 timePt 	 dataNum 	 objNum 	volume 	 area 	 totalGAPDH 	 cytoGAPDH 	 nucGAPDH 	nucArea 	 nucIntensityTotal 	 nucIntensityAvg 	numCyclin 	 totalRNA 	 cytoRNA 	 nucRNA 	numTxnSites 	 avgIntron 	 avgExon 	 numRnaPerTxnSiteAvgExon 
CRL2097_ActD	UBC	121130	0	30	1	3800.576415	4125.546875	2619	2529	90	326.875000	11117877.000000	531.447275	3	1063	1002	61	2	3575.789781	3038.635033	2.055809
CRL2097_ActD	UBC	121130	0	31	1	2524.140132	4798.828125	3396	3301	95	296.500000	5593291.000000	294.756060	47	610	579	31	3	1303.813093	1129.437994	0.691178
CRL2097_ActD	UBC	121130	0	32	1	1773.405746	2503.343750	2114	1975	139	225.375000	4139517.000000	286.988145	3	624	596	28	2	2878.453269	1982.252221	1.943291
CRL2097_ActD	UBC	121130	4	1	1	6146.078363	5345.000000	4940	4931	9	69.421875	3803181.000000	855.993923	9	537	532	5	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	2	1	4238.313833	3456.578125	2834	2640	194	251.328125	13637213.000000	847.821759	78	657	636	21	1	1382.593054	393.758675	0.265426
CRL2097_ActD	UBC	121130	4	3	1	2384.943704	4261.828125	2729	2671	58	303.203125	13043873.000000	672.191342	9	321	319	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	4	1	2283.508448	1678.625000	2784	2633	151	240.625000	18974289.000000	1232.096688	92	273	241	32	1	1239.928057	1745.059010	1.175583
CRL2097_ActD	UBC	121130	4	5	1	2523.330841	4045.296875	3799	3687	112	188.031250	9955370.000000	827.270234	13	163	158	5	1	1168.802058	1533.341595	0.868082
CRL2097_ActD	UBC	121130	4	6	1	4291.592385	5778.359375	3375	3355	20	274.906250	10227459.000000	581.303797	7	333	326	7	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	7	1	3449.172954	4721.046875	2304	2275	29	293.125000	8416507.000000	448.641098	1	341	331	10	2	1076.981281	752.235830	0.450916
CRL2097_ActD	UBC	121130	4	8	1	3962.303599	5554.062500	4028	4019	9	71.234375	3090975.000000	677.994078	12	803	802	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	9	1	4444.831231	4817.375000	4542	4461	81	341.312500	9190531.000000	420.734801	140	998	988	10	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	10	1	2192.277096	3052.593750	2117	2077	40	223.578125	8655036.000000	604.866587	85	211	206	5	1	1523.788191	1497.927651	1.051760
CRL2097_ActD	UBC	121130	4	11	1	4143.339758	3622.281250	2865	2715	150	326.953125	12019783.000000	574.422127	10	418	396	22	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	12	1	2856.788616	4269.796875	2727	2653	74	182.296875	7185585.000000	615.889689	20	147	138	9	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	13	1	4256.896734	2148.000000	3477	3317	160	238.015625	12338290.000000	809.971115	347	1021	984	37	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	14	1	2343.205054	2573.765625	2653	2547	106	288.140625	11967812.000000	648.978472	81	356	341	15	1	2805.668141	787.844463	0.397753
CRL2097_ActD	UBC	121130	4	15	1	2392.147689	2671.281250	2513	2414	99	185.671875	6427350.000000	540.886140	7	168	160	8	1	2022.284150	425.275621	0.310267
CRL2097_ActD	UBC	121130	4	16	1	3065.389619	2800.781250	3088	2998	90	265.015625	7230722.000000	426.314604	30	569	548	21	1	1233.127688	590.534705	0.323120
CRL2097_ActD	UBC	121130	4	17	1	3355.693910	3574.796875	4046	3926	120	285.546875	12169427.000000	665.905718	18	459	439	20	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	18	1	3516.720301	2930.031250	2870	2815	55	238.312500	5659399.000000	371.059468	8	419	408	11	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	19	1	2563.460905	3748.031250	3560	3385	175	160.078125	5190882.000000	506.674671	3	331	304	27	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	21	1	2353.072300	3826.078125	2878	2601	277	253.640625	7473451.000000	460.386312	1	426	369	57	2	649.760124	2775.994376	1.625629
CRL2097_ActD	UBC	121130	4	22	1	1984.758302	2872.765625	2518	2395	123	207.734375	7001429.000000	526.621211	5	396	378	18	1	2401.046253	2718.897362	1.371416
CRL2097_ActD	UBC	121130	4	23	1	1957.014315	3717.625000	3341	3225	116	250.312500	7292754.000000	455.228090	5	592	571	21	1	1474.950737	1203.939959	0.680177
CRL2097_ActD	UBC	121130	4	24	1	2151.829776	4613.406250	3225	3051	174	253.453125	7765327.000000	478.720609	6	484	463	21	0	0.000000	0.000000	0.000000
CRL2097_ActD	UBC	121130	4	25	1	1365.298465	3141.078125	2389	2289	100	242.703125	7423893.000000	477.943282	1	366	351	15	1	1202.063526	806.483789	0.464038
CRL2097_ActD	UBC	121130	4	26	1	3533.664272	4227.125000	4099	3967	132	379.609375	14654663.000000	603.196666	203	483	450	33	1	945.623871	1346.011599	0.880629
CRL2097_ActD	UBC	121130	4	28	1	2969.800443	4130.296875	3943	3878	65	288.015625	8657761.000000	469.688114	2	469	459	10	1	651.076817	480.092715	0.283366
CRL2097_ActD	UBC	121130	4	29	1	2029.022005	3413.734375	1949	1902	47	306.843750	7770617.000000	395.692891	71	449	432	17	1	1327.735197	1121.516587	0.601118
CRL2097_ActD	UBC	121130	4	30	1	3461.317760	2986.968750	3430	3400	30	247.625000	6124732.000000	386.467188	1	532	526	6	1	717.315435	655.077944	0.393329
CRL2097_ActD	ZNF444	121204	0	1	1	2090.404657	1947.531250	2060	1968	92	213.109375	10903369.000000	799.425838	2	24	20	4	2	285.817491	333.773291	1.051275
CRL2097_ActD	ZNF444	121204	0	1	2	1874.375782	1916.343750	2444	2337	107	176.203125	17062966.000000	1513.076705	8	15	13	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	2	1	2021.735488	1998.312500	2276	2065	211	179.531250	13229641.000000	1151.404787	11	18	14	4	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	3	1	4665.419415	4429.265625	2620	2520	100	319.328125	14862801.000000	727.249645	14	21	15	6	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	4	1	1067.761931	1212.609375	1617	1528	89	155.156250	12977965.000000	1306.945116	52	9	8	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	5	1	1940.652031	2476.125000	2019	1915	104	288.718750	12820999.000000	693.852094	4	22	13	9	1	316.255814	496.384031	0.953257
CRL2097_ActD	ZNF444	121204	0	6	1	1793.240071	2430.875000	1902	1815	87	242.953125	12246108.000000	787.581709	108	23	20	3	2	446.310839	638.942206	1.191171
CRL2097_ActD	ZNF444	121204	0	7	1	1724.929242	3013.687500	2461	2286	175	245.500000	20994516.000000	1336.209012	335	20	15	5	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	8	1	1340.426472	2387.546875	1589	1515	74	242.406250	11143657.000000	718.296829	3	13	10	3	1	523.241192	672.006453	1.428050
CRL2097_ActD	ZNF444	121204	0	9	1	2282.344055	2499.328125	2727	2595	132	217.593750	10670276.000000	766.212552	9	8	7	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	10	1	3149.296264	2945.156250	3596	3441	155	258.250000	9135149.000000	552.707466	76	35	28	7	2	497.221925	490.903479	0.857852
CRL2097_ActD	ZNF444	121204	0	11	1	4047.584369	5663.593750	3370	3237	133	290.187500	8741503.000000	470.681833	5	42	34	8	5	466.144301	623.621164	1.114035
CRL2097_ActD	ZNF444	121204	0	12	1	3033.229026	5225.312500	3067	2891	176	284.546875	7923069.000000	435.070507	6	43	33	10	3	355.838847	443.605949	1.285547
CRL2097_ActD	ZNF444	121204	0	13	1	2155.540540	2522.000000	2508	2363	145	206.796875	9459122.000000	714.705100	106	19	18	1	1	362.299495	661.160549	1.060501
CRL2097_ActD	ZNF444	121204	0	14	1	2210.046187	3497.750000	2417	2328	89	229.593750	7774402.000000	529.086838	6	23	18	5	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	15	1	2394.251104	2155.187500	2500	2354	146	183.515625	6124582.000000	521.462920	8	26	22	4	1	410.170816	788.940710	1.482416
CRL2097_ActD	ZNF444	121204	0	16	1	6870.242596	6278.640625	4462	4301	161	336.015625	9906351.000000	460.653383	9	28	22	6	1	488.664037	729.957082	1.114348
CRL2097_ActD	ZNF444	121204	0	17	1	3648.552461	4950.812500	3872	3707	165	248.812500	7281409.000000	457.260048	7	27	22	5	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	18	1	1939.518021	2578.046875	2788	2618	170	235.312500	10156073.000000	674.374037	123	17	15	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	19	1	2583.698867	3746.937500	2867	2671	196	220.750000	6461744.000000	457.371461	5	42	32	10	2	526.863786	585.693136	1.168293
CRL2097_ActD	ZNF444	121204	0	20	1	4530.648002	5131.828125	4328	4188	140	272.375000	9140958.000000	524.378040	9	39	30	9	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	0	21	1	5099.960806	4653.250000	4335	4189	146	347.937500	7528595.000000	338.090309	63	49	42	7	2	426.560879	519.967676	1.267753
CRL2097_ActD	ZNF444	121204	0	22	1	3730.703124	2981.218750	3439	3263	176	305.890625	7149248.000000	365.186086	11	34	26	8	3	455.455250	480.946381	0.930037
CRL2097_ActD	ZNF444	121204	0	23	1	3148.258895	3840.656250	3055	2962	93	295.437500	6696401.000000	354.157023	136	22	15	7	1	416.552449	550.575577	0.972679
CRL2097_ActD	ZNF444	121204	0	24	1	3047.677074	2605.781250	2491	2386	105	244.265625	6686255.000000	427.701337	6	29	19	10	4	391.281867	479.787947	0.943305
CRL2097_ActD	ZNF444	121204	0	26	1	2084.903994	2982.796875	2113	2005	108	244.359375	8586491.000000	549.043481	6	21	18	3	1	577.098803	679.623489	1.167861
CRL2097_ActD	ZNF444	121204	0	27	1	2382.191566	1950.750000	3414	3172	242	251.593750	13279172.000000	824.690846	353	23	15	8	2	370.888781	416.447087	0.967188
CRL2097_ActD	ZNF444	121204	0	29	1	4490.534797	3875.937500	4365	4159	206	277.000000	7735917.000000	436.367159	3	31	21	10	3	431.942224	457.295689	0.769319
CRL2097_ActD	ZNF444	121204	0	30	1	2365.950535	2054.062500	2423	2336	87	183.671875	8320872.000000	707.858103	89	17	13	4	1	327.651462	399.605253	0.891820
CRL2097_ActD	ZNF444	121204	0	31	1	4672.109947	5336.437500	5190	5017	173	336.078125	9149652.000000	425.387140	3	54	44	10	1	430.363520	770.451668	1.414826
CRL2097_ActD	ZNF444	121204	4	1	1	2388.383200	4579.375000	3368	3292	76	252.750000	8220805.000000	508.210002	69	19	17	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	2	1	1241.695786	2784.218750	1480	1442	38	288.640625	7458537.000000	403.753424	1	6	4	2	2	521.113376	359.817071	0.854532
CRL2097_ActD	ZNF444	121204	4	3	1	1213.387720	2304.406250	1594	1547	47	266.250000	8449030.000000	495.835094	17	8	5	3	1	241.088887	402.340605	0.856138
CRL2097_ActD	ZNF444	121204	4	4	1	1438.311094	3039.328125	2051	1932	119	228.875000	9598337.000000	655.266043	4	12	10	2	1	533.489218	653.790883	1.288013
CRL2097_ActD	ZNF444	121204	4	5	1	2555.255218	4566.203125	3830	3747	83	275.875000	9318279.000000	527.768407	8	20	17	3	1	488.310757	509.865381	0.743511
CRL2097_ActD	ZNF444	121204	4	6	1	1321.759165	3721.203125	1984	1926	58	230.328125	8332215.000000	565.240825	5	20	14	6	1	347.052313	723.438828	1.574106
CRL2097_ActD	ZNF444	121204	4	7	1	2406.962847	2624.453125	3277	3166	111	275.015625	14652599.000000	832.486734	205	23	20	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	8	1	2441.384353	2817.671875	2725	2566	159	251.656250	15736979.000000	977.087980	232	14	9	5	1	434.151934	639.380605	1.283092
CRL2097_ActD	ZNF444	121204	4	9	1	2232.210716	3571.734375	2378	2313	65	309.656250	8253583.000000	416.469018	4	18	14	4	4	406.006950	549.566499	0.792875
CRL2097_ActD	ZNF444	121204	4	11	1	1846.035569	2099.765625	1541	1457	84	234.765625	6160719.000000	410.031215	5	9	8	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	11	2	2364.873380	2356.468750	2635	2504	131	239.171875	8441253.000000	551.463579	5	10	7	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	12	1	2953.493622	1634.953125	1848	1771	77	189.343750	6841133.000000	564.543076	1	14	8	6	2	318.349933	502.687393	1.304614
CRL2097_ActD	ZNF444	121204	4	13	1	4363.378149	5306.609375	4238	4185	53	275.890625	7909130.000000	447.931698	5	25	23	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	14	1	4296.322874	3266.562500	3291	3282	9	64.703125	1892994.000000	457.134509	8	29	29	0	1	354.755573	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	15	1	3089.157644	3960.281250	3178	3054	124	356.609375	15780769.000000	691.441484	6	15	9	6	1	404.724537	486.263135	1.011900
CRL2097_ActD	ZNF444	121204	4	16	1	2294.464398	3071.828125	2738	2653	85	272.375000	7613074.000000	436.729807	3	31	28	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	17	1	1913.399169	1461.890625	1902	1816	86	182.562500	5779636.000000	494.662444	5	14	11	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	18	1	9591.953555	7308.187500	6239	6092	147	390.375000	12625351.000000	505.337456	4	18	15	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	19	1	2793.998031	1717.781250	1916	1848	68	189.359375	5720666.000000	472.041092	4	16	12	4	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	20	1	4368.693461	2270.421875	2327	2206	121	256.125000	5480004.000000	334.309663	29	12	9	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	21	1	1408.005987	1723.734375	1730	1651	79	170.515625	5843414.000000	535.454412	12	13	10	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	22	1	3451.140693	2350.375000	3400	3266	134	228.046875	10885694.000000	745.850908	177	16	12	4	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	23	1	4455.279030	4310.093750	2964	2906	58	257.468750	5947775.000000	360.952482	4	17	15	2	1	480.643226	452.696995	0.947801
CRL2097_ActD	ZNF444	121204	4	24	1	5250.828978	4676.718750	5050	4913	137	296.281250	9606514.000000	506.619238	108	19	18	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	25	1	2067.063075	2220.109375	2235	2183	52	215.500000	6715214.000000	486.891966	6	11	10	1	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	25	2	5130.574531	2677.734375	3337	3160	177	347.437500	11696398.000000	526.011783	83	10	10	0	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	26	1	4440.100177	3373.500000	2719	2660	59	276.218750	6351705.000000	359.299977	136	19	15	4	1	383.134515	524.819746	1.092343
CRL2097_ActD	ZNF444	121204	4	27	1	1327.646730	1558.375000	2479	2254	225	186.640625	7202941.000000	603.008874	3	11	9	2	0	0.000000	0.000000	0.000000
CRL2097_ActD	ZNF444	121204	4	28	1	3026.478504	2892.453125	2076	2025	51	171.765625	5055019.000000	459.839807	1	10	7	3	1	273.570159	371.153764	0.868907
CRL2097_ActD	ZNF444	121204	4	29	1	4801.599172	4541.843750	3361	3300	61	253.734375	6542575.000000	402.892727	7	20	16	4	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	1	1	4667.536210	4008.343750	4418	4237	181	299.390625	8581250.000000	447.849799	23	17	13	4	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	2	1	1971.807185	2200.000000	2428	2328	100	238.390625	18302726.000000	1199.628105	145	60	43	17	2	790.082351	587.243467	1.003976
CRL2097_ActD	MYC	121205	0	3	1	4113.216502	4365.031250	3866	3699	167	306.093750	10080245.000000	514.560745	3	90	60	30	1	8337.048065	2604.141086	5.525229
CRL2097_ActD	MYC	121205	0	4	1	4733.278496	5027.593750	5482	5248	234	332.281250	18922863.000000	889.817690	6	27	19	8	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	5	1	4291.071774	3906.000000	3742	3575	167	269.046875	9286831.000000	539.336256	12	60	41	19	2	4182.519032	1315.598910	2.788876
CRL2097_ActD	MYC	121205	0	6	1	3603.791469	4540.984375	3259	3127	132	322.046875	10457819.000000	507.390180	8	237	134	103	2	1950.253544	1102.311886	1.627980
CRL2097_ActD	MYC	121205	0	7	1	2754.093432	2841.062500	2794	2599	195	280.406250	9896226.000000	551.444667	7	28	17	11	2	677.610796	574.400621	1.213268
CRL2097_ActD	MYC	121205	0	8	1	2096.920807	2235.140625	2241	2150	91	220.687500	8654272.000000	612.735202	3	12	9	3	1	3053.218202	674.791952	1.156354
CRL2097_ActD	MYC	121205	0	9	1	3242.295439	2987.984375	2690	2530	160	300.671875	15090062.000000	784.184483	173	70	47	23	2	1337.177591	659.737150	1.456048
CRL2097_ActD	MYC	121205	0	10	1	2118.441530	2042.781250	2320	2154	166	218.937500	12992794.000000	927.261918	105	48	26	22	1	6917.830906	2839.420533	5.204647
CRL2097_ActD	MYC	121205	0	11	1	4039.198045	4078.328125	4093	3926	167	365.218750	16093526.000000	688.522546	462	80	57	23	2	9239.009212	4144.431317	8.404243
CRL2097_ActD	MYC	121205	0	12	1	1229.873073	2177.031250	1809	1719	90	204.281250	7978251.000000	610.237953	4	45	37	8	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	13	1	3032.171314	2308.109375	4250	4002	248	213.359375	8496566.000000	622.231124	8	61	50	11	2	2116.443077	819.488394	1.564542
CRL2097_ActD	MYC	121205	0	14	1	5399.451739	6514.859375	4004	3828	176	347.703125	10710150.000000	481.290163	2	90	56	34	2	5745.280613	2425.211610	3.449102
CRL2097_ActD	MYC	121205	0	15	1	4733.540530	3415.828125	4293	4138	155	360.781250	15777714.000000	683.313729	382	206	130	76	1	1710.854188	587.315986	1.027322
CRL2097_ActD	MYC	121205	0	16	1	4717.690885	3598.953125	5051	4849	202	291.703125	13430553.000000	719.403985	215	175	138	37	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	17	1	1713.867740	1941.703125	2080	1985	95	237.468750	12860494.000000	846.196473	148	160	100	60	2	4064.683728	1870.604051	3.054233
CRL2097_ActD	MYC	121205	0	18	1	2281.886219	3846.625000	3754	3585	169	273.109375	15647298.000000	895.205561	145	99	59	40	1	5519.394552	2681.167613	4.296086
CRL2097_ActD	MYC	121205	0	19	1	2894.215999	2285.437500	3541	3388	153	211.046875	8294513.000000	614.089953	57	125	101	24	2	1878.728394	1210.428988	2.417135
CRL2097_ActD	MYC	121205	0	20	1	2095.426042	2046.109375	3107	2994	113	212.546875	7786912.000000	572.440785	4	35	26	9	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	21	1	1482.178140	1170.312500	1877	1773	104	179.859375	8036207.000000	698.132829	122	36	28	8	1	1805.711669	559.599438	0.967970
CRL2097_ActD	MYC	121205	0	22	1	1949.586186	3254.656250	2470	2378	92	285.062500	8635121.000000	473.312925	7	149	95	54	1	6101.558081	3309.915969	5.032708
CRL2097_ActD	MYC	121205	0	23	1	1735.883988	1835.265625	2425	2343	82	284.515625	16243487.000000	892.058158	264	71	48	23	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	24	1	4455.006782	4842.078125	5234	5032	202	230.203125	8479054.000000	575.514423	17	34	22	12	1	4328.653518	1652.927171	2.579837
CRL2097_ActD	MYC	121205	0	25	1	1808.383765	2238.406250	2562	2296	266	190.578125	6630088.000000	543.583504	2	17	8	9	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	26	1	3388.583547	3000.250000	3788	3557	231	264.250000	8875689.000000	524.816048	12	80	32	48	2	10387.697354	4529.067940	9.410075
CRL2097_ActD	MYC	121205	0	27	1	2683.685681	2667.750000	2888	2746	142	199.921875	8425919.000000	658.532161	59	27	18	9	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	28	1	1913.296065	2559.531250	1843	1766	77	292.546875	9524777.000000	508.720664	120	15	9	6	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	29	1	1623.428055	1697.359375	2507	2309	198	188.765625	8080640.000000	668.871782	2	18	15	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	30	1	3601.395301	3893.000000	3992	3760	232	335.750000	15621952.000000	727.008191	306	43	22	21	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	0	31	1	4969.112160	5264.453125	5238	5107	131	239.187500	8784596.000000	573.856546	57	95	77	18	1	5712.200026	2280.071848	3.994719
CRL2097_ActD	MYC	121205	0	32	1	2753.951010	3733.281250	2530	2405	125	226.390625	8978238.000000	619.658914	6	31	18	13	1	1363.418955	395.517508	0.600728
CRL2097_ActD	MYC	121205	0	33	1	3327.947249	5646.453125	4150	4012	138	308.203125	8402557.000000	425.985146	4	60	40	20	1	8898.481177	2443.372812	4.320034
CRL2097_ActD	MYC	121205	4	1	1	2284.519312	3450.656250	2539	2483	56	207.578125	8946973.000000	673.464283	7	3	0	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	4	2	1	2101.883350	3653.859375	1479	1388	91	224.078125	7330662.000000	511.168119	5	4	1	3	0	0.000000	0.000000	0.000000
CRL2097_ActD	MYC	121205	4	3	1	1703.471859	2224.765625	2011	1961	50	192.359375	7711645.000000	626.402810	12	3	1	2	0	0.000000	0.000000	0.000000
