drug 	 gene 	 date 	 conc 	 dataNum 	 objNum 	numTxnSites 	 intensity 
Triptolide	MYC	141114	100nM	1	4	2	2532.000000
Triptolide	MYC	141114	100nM	2	1	1	2935.000000
Triptolide	MYC	141114	100nM	2	2	1	12093.000000
Triptolide	MYC	141114	100nM	3	1	1	5914.000000
Triptolide	MYC	141114	100nM	3	2	1	1278.000000
Triptolide	MYC	141114	100nM	4	1	1	3904.000000
Triptolide	MYC	141114	100nM	4	2	0	0.000000
Triptolide	MYC	141114	100nM	5	1	0	0.000000
Triptolide	MYC	141114	100nM	5	3	1	5696.000000
Triptolide	MYC	141114	100nM	6	1	1	7784.000000
Triptolide	MYC	141114	100nM	6	2	0	0.000000
Triptolide	MYC	141114	100nM	7	1	0	0.000000
Triptolide	MYC	141114	100nM	7	2	1	950.000000
Triptolide	MYC	141114	100nM	8	1	1	1948.000000
Triptolide	MYC	141114	100nM	8	2	1	10040.000000
Triptolide	MYC	141114	100nM	8	3	1	2939.000000
Triptolide	MYC	141114	100nM	9	1	2	1847.000000
Triptolide	MYC	141114	100nM	9	1	2	1459.000000
Triptolide	MYC	141114	100nM	9	2	2	4415.000000
Triptolide	MYC	141114	100nM	9	2	2	2469.000000
Triptolide	MYC	141114	100nM	10	1	2	2700.000000
Triptolide	MYC	141114	100nM	10	1	2	5519.000000
Triptolide	MYC	141114	100nM	10	2	1	3976.000000
Triptolide	MYC	141114	100nM	11	1	2	3994.000000
Triptolide	MYC	141114	100nM	11	1	2	4600.000000
Triptolide	MYC	141114	100nM	11	2	0	0.000000
Triptolide	MYC	141114	100nM	12	1	3	2436.000000
Triptolide	MYC	141114	100nM	12	1	3	1997.000000
Triptolide	MYC	141114	100nM	12	1	3	2499.000000
Triptolide	MYC	141114	100nM	12	2	0	0.000000
Triptolide	MYC	141114	100nM	13	1	3	3377.000000
Triptolide	MYC	141114	100nM	13	1	3	4724.000000
Triptolide	MYC	141114	100nM	13	1	3	2228.000000
Triptolide	MYC	141114	100nM	13	2	2	5074.000000
Triptolide	MYC	141114	100nM	13	2	2	3151.000000
Triptolide	MYC	141114	100nM	13	3	0	0.000000
Triptolide	MYC	141114	100nM	14	1	2	3122.000000
Triptolide	MYC	141114	100nM	14	1	2	2012.000000
Triptolide	MYC	141114	100nM	14	2	1	2221.000000
Triptolide	MYC	141114	100nM	15	1	0	0.000000
Triptolide	MYC	141114	100nM	15	2	1	3128.000000
