objArrayNum,WormNum,Fixed,Imaged,Strain
1,4,140623,140627,N2
2,4,140623,140627,N2
3,4,140623,140627,N2
4,4,140623,140627,N2
5,4,140623,140627,N2
6,4,140623,140627,N2
7,4,140623,140627,N2
8,5,140623,140627,N2
9,5,140623,140627,N2
10,5,140623,140627,N2
11,5,140623,140627,N2
12,5,140623,140627,N2
13,6,140623,140627,N2
14,6,140623,140627,N2
15,6,140623,140627,N2
16,6,140623,140627,N2
17,6,140623,140627,N2
18,6,140623,140627,N2
19,6,140623,140627,N2
