objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,head,468756,24,24,222,1079,11423
2,1,true,gonad,701086,23,24,162,20102,61717
3,1,false,gonad,40003,21,21,12,650,2988
3,2,true,gonad,43068,21,22,21,1763,4326
3,3,false,gonad,38449,21,21,52,1193,2745
3,4,true,gonad,68989,22,22,28,2443,5738
3,5,false,gonad,42096,22,23,29,1148,3884
3,6,true,gonad,143305,23,23,48,4203,10285
4,1,true,gonad,282436,23,23,179,7176,8818
5,1,true,gonad,266855,21,21,168,6719,11282
6,1,false,gonad,78363,17,19,53,2433,4537
6,2,true,gonad,219109,26,23,111,8183,17366
7,1,false,gonad,73688,26,23,35,3840,6900
7,2,true,gonad,317510,19,22,135,12937,33875
8,1,true,head,635460,16,17,152,968,9102
9,1,true,gonad,148736,19,21,43,6461,11686
9,2,true,gonad,353808,20,23,77,15852,34616
10,1,false,gonad,51960,12,15,21,408,3791
10,2,true,gonad,562549,16,18,202,21610,33338
11,1,true,gonad,708703,24,18,204,7557,44484
12,1,false,gonad,383413,22,20,86,7160,22745
12,2,true,gonad,582975,15,24,144,16547,33800
13,1,true,head,377236,34,36,228,1285,14718
14,1,true,gonad,406368,37,33,195,24699,21684
15,1,false,gonad,108225,34,34,75,699,3838
15,2,true,gonad,197705,35,31,168,7906,8278
15,3,true,gonad,35519,37,35,31,1428,2313
16,1,false,gonad,148747,35,37,158,2276,3565
16,2,true,gonad,85714,31,38,89,2168,2165
17,1,true,gonad,81974,37,37,99,2852,3550
17,2,true,gonad,49485,37,36,59,1885,3179
17,3,false,gonad,55740,30,36,53,1031,1916
18,1,false,gonad,39896,28,37,39,210,3008
18,2,true,gonad,131083,37,37,88,6489,15738
19,1,false,gonad,209449,33,35,111,349,8840
19,2,true,gonad,221990,36,36,103,10684,21634
