gene	Nm_seq	lower_seq	upper_seq	meanCount	seCount
A1BG	0.951654823448387	0.576875750391926	1.51978851495989	37.4587314829422	5.5706852974822
A4GALT	4.56234099724751	2.24751070111905	9.1276498672074	8.05006066321476	2.60816758596581
AAAS	0.743129643930299	0.405860635426884	1.19175866810756	106.53406079872	15.4284273728283
AACS	1.92797495379431	1.17557465722135	3.0292998695707	42.623411467482	9.31776342755859
AADAT	1.97309208096312	1.09133933897062	3.42314602657307	35.2776947171238	7.6104900520943
AAED1	2.63329193427425	1.5865357219255	4.29389976225355	31.7356320192685	7.74691033692333
AAGAB	0.828899671838422	0.479950943733923	1.24250795688713	76.5789925467392	11.7479518190532
AAK1	0.142423166545921	0.0833267732870136	0.210177212067851	82.912237762829	5.9294230554243
AAMDC	0.254227225461646	0.150823315785738	0.377603953669758	265.167820211306	21.9875648224318
AAMP	0.636061758796987	0.388159585943583	0.951762780332204	123.01796520271	14.9207013013023
AAR2	1.01838085619285	0.612432255380209	1.55299733572905	75.9589213103263	11.6945951646087
AARS	0.455250575356322	0.250710878055044	0.70500125017678	126.058159061224	14.4933163334362
AARS2	2.92842153545397	1.60566659389607	5.12735300303824	21.5880922145472	5.76545979353532
AASDH	1.64630965016686	0.969733243278535	2.62975393338329	35.5201413070566	6.98823728895282
AASDHPPT	0.342433987837108	0.213423609416382	0.495682129974721	153.386184857132	13.7552111213865
AASS	0.695726422875364	0.352146215739973	1.20589405155067	103.564706583874	15.4162037109162
AATF	0.56853304652709	0.319196485235188	0.884882763725206	118.018956166251	15.3712678336727
ABCA1	1.58291057882597	0.914550688662324	2.52567661658789	52.2345028749752	9.92857742069014
ABCA11P	2.26225142921618	1.27903537604774	3.66641894939033	20.4492999650136	4.79246807868083
ABCA5	0.956975462141672	0.531857757969849	1.55914558643004	48.4035359568816	8.85106614073034
ABCB10	1.15709009110322	0.614229710671081	2.03583008451642	35.8419116886555	6.5718552281531
ABCB6	2.87126518131987	1.51350940239513	5.03206883457731	27.9014207989924	7.37573378643008
ABCB7	1.86053132711231	0.965369807991581	3.10131216161263	38.7319482484115	8.5797707263169
ABCB8	4.64371163005075	2.47121172201722	8.17687087648461	19.0531800549106	6.16779408404129
ABCC1	0.774110254127805	0.429220197737848	1.21365669251007	43.1876906182314	6.0352225472388
ABCC10	4.78156608126269	2.52441617991752	8.97766799829829	12.3237243739438	4.06948867510018
ABCC3	2.41972533448569	1.18122870573847	4.61058589770925	30.9659710615351	7.87494786020062
ABCC4	0.747698247743653	0.415913394872653	1.18030071115551	66.6049494892369	9.53789418336137
ABCC5	1.12055895848948	0.61805676604858	1.94332915477499	30.9721989563216	5.44502403183401
ABCC9	8.89804448784449	3.91439450156765	21.0083139911276	6.53946948788624	2.83304167545752
ABCD1	7.68945452652516	3.19633487563606	18.5207619278534	4.15729756882984	1.65597201553909
ABCD3	0.92727244846161	0.601550861316193	1.29742715262309	78.8345254476715	12.2638765454031
ABCD4	2.01478606323895	1.03896875006204	3.46863911391321	48.1708831927098	11.1178388897636
ABCE1	0.123427658776778	0.0669016095964579	0.194653397102379	234.206035807199	13.6351865461731
ABCF1	0.248042137335441	0.154766591173597	0.371414021138805	50.9712718498564	4.25381122072165
ABCF2	0.216597010581467	0.128399526571115	0.321344885188129	147.591440795401	12.8214651524233
ABCF3	1.87220471089758	1.07138234101119	3.03356131801173	47.0140926993345	9.70766717210459
ABHD10	0.552453851960037	0.350267394608895	0.810579504880903	117.896344107396	13.9805270560727
ABHD11	0.766455084351702	0.436453979897654	1.2624621774474	53.7254678474884	7.75628601703777
ABHD12	1.33010805461979	0.744808767811762	2.13492884790676	46.0989319243175	8.36213775790298
ABHD13	1.94906213551187	0.885101635751088	3.79268991008349	24.7519756318897	6.22654787195731
ABHD14A	3.31077173035189	1.79977027099287	6.32086997824405	22.1520571756139	6.02001591310296
ABHD14B	1.68125392288498	0.877690549644001	2.82159255563586	54.2737780387952	11.5472214173801
ABHD15	11.0757821520705	4.06605822884346	24.0217318523918	6.83027840410094	3.80862970574358
ABHD16A	2.00710653153568	1.06148886151426	3.31441962185712	16.2935232905698	3.57613315886946
ABHD17B	3.2926685188237	1.60113689442658	6.25979830996074	12.0768619901003	3.35605616012116
ABHD17C	2.03093110993327	1.14906812306496	3.25965447021301	38.3793218597334	8.53422113301132
ABHD2	1.51526068594608	0.878729175731838	2.46088912973416	26.5065736001355	4.99395598568539
ABHD3	5.59044414150345	2.338522909613	12.6612003180339	18.3800482523415	6.6021030084802
ABHD4	1.74920535300706	0.994319164717256	2.78605103755532	51.7115738952774	11.5211061116301
ABHD5	0.69282969424951	0.421322373459187	1.04421355030999	72.1870181782809	9.25047297752702
ABHD6	5.98778620810542	2.91898958123539	12.8241352162266	9.8774392352926	3.52724389254661
ABI1	0.232654655299172	0.144992984479103	0.34563923538869	168.602352805202	14.8579052971979
ABI2	0.322114725154445	0.136790665427047	0.546698079698994	89.8317774119074	8.72387703790626
ABI3BP	7.45433201063583	3.53436486627477	15.7665924212821	10.6526122024159	4.22082178464705
ABL1	0.781167149859325	0.474067289511122	1.19824175703325	38.2195087406353	5.79976554728398
ABL2	0.161118737725964	0.0791774573151572	0.263551929874216	98.3433280863154	6.59830570938429
ABLIM1	2.62582842586938	1.46638166005396	4.50608140124431	19.5565818556046	4.72692299055152
ABLIM3	0.879388066060014	0.564347455608554	1.28813663737241	34.9216833487375	5.25293598322229
ABR	1.84377642801159	0.886630722375198	3.14328490898374	26.3403243368018	5.74611746291315
