objArrayNum,WormNum,Fixed,Imaged,Strain
1,3,140610,140619,CB502
2,3,140610,140619,CB502
3,3,140610,140619,CB502
4,3,140610,140619,CB502
5,3,140610,140619,CB502
6,4,140610,140619,CB502
7,4,140610,140619,CB502
8,4,140610,140619,CB502
9,4,140610,140619,CB502
10,4,140610,140619,CB502
11,5,140610,140619,CB502
12,5,140610,140619,CB502
13,5,140610,140619,CB502
14,5,140610,140619,CB502
15,6,140610,140619,CB502
16,6,140610,140619,CB502
17,6,140610,140619,CB502
18,6,140610,140619,CB502
19,6,140610,140619,CB502
20,7,140610,140619,CB502
21,7,140610,140619,CB502
22,7,140610,140619,CB502
23,7,140610,140619,CB502
24,7,140610,140619,CB502
