objArrayNum,WormNum,Fixed,Imaged,Strain
1,1,140623,140625,N2
2,1,140623,140625,N2
3,1,140623,140625,N2
4,1,140623,140625,N2
5,1,140623,140625,N2
6,2,140623,140625,N2
7,2,140623,140625,N2
8,2,140623,140625,N2
9,2,140623,140625,N2
10,2,140623,140625,N2
11,3,140623,140625,N2
12,3,140623,140625,N2
13,3,140623,140625,N2
14,3,140623,140625,N2
15,3,140623,140625,N2
16,3,140623,140625,N2
