objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,head,484573,20,20,223,1239,14628
2,1,true,gonad,542788,23,28,288,34567,83314
3,1,false,gonad,62177,21,28,44,2846,8233
3,2,true,gonad,245490,21,24,171,14510,20547
4,1,false,gonad,254267,22,22,171,10380,20737
4,2,true,gonad,137987,24,24,209,6629,9685
5,1,true,gonad,572650,32,21,269,23670,58192
5,2,false,gonad,21195,24,22,24,26,1800
6,1,true,head,336336,27,27,192,1125,9284
7,1,true,gonad,358869,31,28,182,19154,43785
8,1,false,gonad,80822,24,26,53,447,5011
8,2,true,gonad,202902,28,26,177,9282,11947
9,1,true,gonad,94673,22,23,90,2462,4471
9,2,true,gonad,278866,24,24,165,6767,15344
10,1,false,gonad,36784,32,29,18,759,2255
10,2,true,gonad,403652,23,30,160,14159,37525
11,1,false,head,417692,20,28,204,572,9283
12,1,true,gonad,406559,24,28,204,19801,51590
13,1,false,gonad,55412,25,26,36,941,4687
13,2,true,gonad,114454,25,28,78,5780,14408
13,3,false,gonad,121547,27,26,86,5974,12080
13,4,true,gonad,181832,26,26,112,5429,22358
14,1,false,gonad,80708,31,30,87,284,2806
14,2,true,gonad,56799,21,22,48,1221,2201
15,1,false,gonad,136243,32,24,127,4273,10814
15,2,true,gonad,252394,24,28,160,6357,29442
16,1,false,gonad,28281,33,28,16,3426,2618
16,2,true,gonad,418363,22,28,213,4184,51519
