objArrayNum,WormNum,Fixed,Imaged,Strain
1,1,140609,140610,N2
2,1,140609,140610,N2
3,1,140609,140610,N2
4,2,140609,140610,N2
5,2,140609,140610,N2
6,2,140609,140610,N2
7,2,140609,140610,N2
8,2,140609,140610,N2
9,2,140609,140610,N2
10,3,140609,140611,N2
11,3,140609,140611,N2
12,3,140609,140611,N2
13,3,140609,140611,N2
14,4,140609,140612,N2
15,4,140609,140612,N2
16,4,140609,140612,N2
17,4,140609,140612,N2
18,4,140609,140612,N2
