objArrayNum,WormNum,Fixed,Imaged,Strain
1,1,140610,140613,CB502
2,1,140610,140613,CB502
3,1,140610,140613,CB502
4,1,140610,140613,CB502
5,1,140610,140613,CB502
6,2,140610,140613,CB502
7,2,140610,140613,CB502
8,2,140610,140613,CB502
9,2,140610,140613,CB502
10,2,140610,140613,CB502
