objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,gonad,206696,27,27,107,10166,25116
2,1,true,gonad,12734,26,27,15,707,1383
2,2,false,gonad,90492,14,27,60,37,5141
3,1,false,gonad,53811,28,28,50,427,2114
3,2,true,gonad,90113,27,28,138,2981,4805
4,1,true,gonad,159190,26,28,181,2640,28542
4,2,false,gonad,10931,28,28,17,1304,1625
5,1,true,head,277451,28,28,236,969,7978
6,1,false,gonad,92335,22,25,26,5184,13359
7,1,true,gonad,173007,26,27,124,9894,23254
7,2,false,gonad,70829,24,27,34,641,9329
8,1,false,gonad,122720,25,25,94,2193,11487
8,2,true,gonad,181230,27,26,187,6577,24553
9,1,false,gonad,96653,25,26,77,1546,10143
9,2,true,gonad,262324,25,27,143,9593,28853
10,1,false,head,343003,27,29,221,973,44980
