objArrayNum,objNum,isGood,anatomicalStructure,area,alexaZdiff,tmrZdiff,numnuclei,alexaspots,tmrspots
1,1,true,head,285325,31,41,267,896,4992
2,1,true,gonad,146212,42,43,176,4916,13819
2,2,false,gonad,75956,43,43,77,601,4519
3,1,false,gonad,195342,42,41,245,1142,2175
4,1,false,gonad,87652,43,42,72,2424,955
4,2,true,gonad,90221,42,42,75,1252,7095
5,1,true,head,231870,33,39,219,381,3797
6,1,true,gonad,129007,38,40,169,3038,17042
6,2,false,gonad,102040,39,40,89,2347,14046
7,1,true,gonad,121895,38,36,132,836,1359
8,1,true,gonad,170919,32,36,155,2149,12605
9,1,true,head,256136,33,39,234,237,4135
10,1,true,gonad,289148,43,43,245,14761,32931
10,2,false,gonad,75356,32,43,38,298,8162
11,1,false,gonad,197889,28,42,230,339,8265
11,2,true,gonad,92741,42,43,144,2108,4416
11,3,false,gonad,72088,43,40,130,814,1946
12,1,false,gonad,36368,42,42,51,557,2030
12,2,true,gonad,208771,41,43,179,5458,24463
13,1,true,head,279833,30,33,240,173,530
14,1,false,gonad,41950,36,36,55,451,429
14,2,true,gonad,17988,36,36,15,771,1923
14,3,true,gonad,83395,36,36,128,7041,3939
15,1,true,gonad,27264,36,36,60,1365,1897
16,1,true,gonad,179697,36,35,197,8107,1768
17,1,true,head,313708,34,36,262,1095,5619
18,1,false,gonad,89719,36,35,69,513,4766
18,2,true,gonad,182207,26,34,182,1634,9192
19,1,true,gonad,78639,33,34,114,984,1565
19,2,true,gonad,42162,34,32,67,2198,669
19,3,false,gonad,43691,36,34,62,3792,728
20,1,false,gonad,46866,36,36,48,3464,2151
20,2,true,gonad,107133,35,36,73,3495,3274
21,1,true,head,302041,33,32,231,1642,1919
22,1,false,gonad,78205,33,33,100,9548,3170
22,2,true,gonad,81470,32,32,131,5064,2467
23,1,false,gonad,44166,33,33,55,1318,1248
23,2,true,gonad,89519,30,31,113,1296,570
24,1,false,gonad,40142,34,30,51,3612,1053
24,2,true,gonad,124928,32,29,119,7723,11764
25,1,true,head,205878,30,29,179,5176,3304
25,2,true,gonad,56095,26,29,66,857,1729
26,1,true,gonad,25194,30,29,52,1467,752
26,2,true,gonad,95949,30,30,115,8798,3301
27,1,true,gonad,109651,30,26,116,2244,1543
