1	1	79	1625	1	3
2	1	634	2426	134	5
3	1	150	2773	204	2
4	1	156	2292	7	2
5	1	131	2715	14	4
6	1	268	1819	163	1
6	2	111	2049	49	2
7	1	192	2880	209	3
7	2	144	2068	36	5
8	1	390	1516	92	2
8	2	92	1075	49	1
9	1	265	1397	55	3
10	1	152	2590	9	3
11	1	172	2100	247	3
12	1	215	1630	56	2
13	1	150	2731	4	2
14	1	168	1992	139	2
15	1	174	2774	255	2
16	1	248	4584	430	3
17	1	158	2435	59	2
18	1	123	2821	14	1
19	1	94	1490	70	2
20	1	128	2541	331	3
21	1	62	1103	1	1
22	1	380	1425	62	2
23	1	354	1498	47	2
24	1	124	2417	2	2
25	1	55	1729	137	3
26	1	214	5346	10	3
27	1	122	2538	262	1
28	1	116	2560	180	3
29	1	155	3810	238	2
30	1	117	1996	243	2
30	2	466	3497	154	2
31	1	1664	5487	232	3
32	1	121	3306	5	2
33	1	204	1982	68	2
33	2	102	2332	260	0
34	1	290	3050	120	2
35	1	55	1913	2	2
36	1	200	3615	80	1
37	1	213	3629	85	3
38	1	245	2277	161	1
39	1	83	1964	5	1
40	1	138	2468	7	1
41	1	340	3944	198	2
42	1	144	3467	31	0
43	1	137	2468	1	3
44	1	150	3489	3	2
45	1	92	1688	0	1
46	1	187	2464	245	3
47	1	252	3593	62	1
48	1	572	2543	115	2
49	1	555	3099	130	3
50	1	181	2265	71	3
51	1	144	2266	152	1
52	1	186	2750	54	4
53	1	156	2755	256	2
54	1	189	3573	284	1
55	1	297	2884	136	1
56	1	122	2289	52	3
57	1	78	2242	3	2
58	1	98	2091	8	1
59	1	744	2693	108	2
60	1	628	2017	114	1
61	1	175	3752	408	2
62	1	133	3044	376	2
63	1	369	5389	174	1
64	1	123	3267	295	1
64	2	443	3677	222	0
65	1	133	4255	249	3
66	1	36	1557	3	2
67	1	179	2107	86	1
68	1	90	3940	3	2
69	1	120	5270	13	0
70	1	44	1866	0	1
71	1	74	3292	7	2
72	1	127	4624	2	2
73	1	720	4718	190	0
74	1	74	1837	4	3
75	1	506	1942	169	3
76	1	147	2744	194	2
77	1	118	3069	9	2
78	1	143	3456	37	2
79	1	552	2384	107	3
80	1	155	3230	278	1
81	1	138	3851	201	1
82	1	78	2342	4	2
83	1	578	2228	93	2
84	1	129	3226	222	1
85	1	54	1991	2	1
86	1	119	3269	331	2
87	1	103	2512	236	2
88	1	459	3487	154	1
89	1	89	2055	2	3
90	1	461	2619	61	3
91	1	319	1699	51	2
92	1	536	2120	115	1
93	1	131	3203	242	2
94	1	524	3235	64	1
95	1	123	3124	181	2
96	1	84	2166	33	2
97	1	500	3350	80	1
98	1	390	2146	143	3
99	1	261	6821	10	1
100	1	113	1965	72	0
101	1	558	5628	378	2
102	1	120	4382	3	3
103	1	175	5318	5	3
104	1	415	4322	126	4
105	1	175	5581	5	6
106	1	100	2924	6	3
107	1	111	2033	250	3
108	1	495	1767	74	2
109	1	423	2177	137	2
110	1	125	2935	243	3
