3.45	0.913491	0.094	0.143
3.64	21.362	0.042	0.083
24	91.1104	0.467	0.786
2.53	9.09704	0.054	0.083
2.78	16.4382	0.313	0.104
24	261.007	0.453	0.931
24	4818.76	0.019	0.188
18.55	43.1523	0.393	0.5
2.2	28.0623	0.191	0.868
6.93	20.7322	0.25	0.357
2.56	24.0789	0.173	0.5
6.22	35.128	0.167	0.467
8.25	161.401	0.063	0.234
8.8	1.48388	0.131	0.214
2.82	47.0356	0.219	0.357
4.97	17.8838	0.183	0.2
10	208.421	0.367	0.711
10	208.421	0.275	0.689
24	615.75	0.45	0.537
6.22	615.393	0.5	0.634
24	448.448	0.333	0.5
24	2.33692	0.214	0.5
2.3	0.569976	0.227	0.277
11.37	405.766	0.333	0.457
2.86	4.37085	0.205	0.244
